論文名稱(中文),畢業學年度,學位類別,作者,博碩士論文網址
消防員新式體能成績對工作壓力及 睡眠品質關係之影響,113,碩士,楊秉融,https://hdl.handle.net/11296/e2k2b9
探討台灣中學個案教師在氣候變遷教學效能之研究,113,碩士,詹椘媛,https://hdl.handle.net/11296/742a2z
平板搭載體感遊戲應用於體育教學之體適能研究,113,碩士,劉佩洳,https://hdl.handle.net/11296/n5xz2s
桃園市公立教保服務人員實施大肌肉活動教學困境之研究,113,碩士,石竹君,https://hdl.handle.net/11296/47n3qm
籃球運動對國小學童動作發展影響之研究,113,碩士,余建霖,https://hdl.handle.net/11296/9tv537
路易．許波爾《第四號單簧管協奏曲》之樂曲分析與詮釋探討,113,碩士,張宇沛,https://hdl.handle.net/11296/aasa2a
探析國民小學非體育專長體育教師實施融合式體育之現況,113,碩士,林憶萍,https://hdl.handle.net/11296/h236dw
舞弊合理化與道德評價,113,碩士,林曉平,https://hdl.handle.net/11296/42ww79
DeFi 對土耳其銀行體系影響之研究,113,碩士,歐斯曼,https://hdl.handle.net/11296/5x76r3
透過深度學習模型基於融合骨架特徵為虛擬資料集之威脅無人機行為辨識,113,碩士,翁雋傑,https://hdl.handle.net/11296/r942na
關聯式資料庫恢復演算法在 Neo4j 圖形資料庫上的應用,113,碩士,林聖傑,https://hdl.handle.net/11296/qd953b
從跳板觀點探討中小企業之國際擴張規劃 - A公司之個案分析,113,碩士,李云菲,https://hdl.handle.net/11296/y8tx43
應用雙控制系統研究感應馬達的穩定性與能耗優化,113,碩士,鄭群耀,https://hdl.handle.net/11296/e27cxh
運動用品產業選擇物流服務供應商之研究,113,碩士,楊凱婷,https://hdl.handle.net/11296/3xf7hf
影響線上虛擬通路與線下實體通路採購選擇之因素：以電腦產品為例,113,碩士,簡可甯,https://hdl.handle.net/11296/aj8k86
家庭廢舊藥品逆物流可行性研究,113,碩士,亓璿語,https://hdl.handle.net/11296/725gty
以《兩極》插畫創作探討人權迫害議題,113,碩士,張鈞灝,https://hdl.handle.net/11296/eh9kn6
家家有本難唸的經-從主要家庭照顧者的角度談失智家庭的內部溝通壓力,113,碩士,陸曉耘,https://hdl.handle.net/11296/jsctm6
使用變形器分離個人風格與文本的漢字書寫生成,113,碩士,許恒誠,https://hdl.handle.net/11296/73v8em
數位化病理切片電腦輔助判讀,113,博士,陳彥璋,https://hdl.handle.net/11296/c28b36
鋰離子電池儲能系統火災風險分析及因應對策,113,碩士,蔡尚宜,https://hdl.handle.net/11296/92j265
物流公司多媒體廣告與形象之研究,113,碩士,丁冠廷,https://hdl.handle.net/11296/9228t8
推動港口永續發展管理實務之研究,113,碩士,張馨之,https://hdl.handle.net/11296/ub6799
基於小交流信號注入虛擬同步發電機以實現孤島微電 網中逆變器的 輸出 功率 平均分配 控制,113,碩士,楊明翰,https://hdl.handle.net/11296/ur4zy6
合建契約法律關係之研究,113,碩士,林粲宸,https://hdl.handle.net/11296/47nc23
提升追蹤器改善及聚集能力於多重攝影機人員追蹤,113,碩士,Mudasir Hussain Bhat,https://hdl.handle.net/11296/kfa8a5
漢寶德的古蹟保存論述與實踐之初探,113,碩士,劉世翔,https://hdl.handle.net/11296/8449kr
消費者環境重視程度以及企業永續品牌形象對購買行為的影響,113,碩士,陳思婷,https://hdl.handle.net/11296/zf38fw
電商直播中消費者參與跟主播 自我揭露對信任、態度 和願意向主播購買 程度之影響,113,碩士,謝清如,https://hdl.handle.net/11296/73waxj
評估臺灣民眾攝入食品乳化劑之潛在健康風險,113,碩士,王佳湘,https://hdl.handle.net/11296/65z84e
雇主品牌與市場價值關聯性之研究,113,碩士,葉珮萱,https://hdl.handle.net/11296/64p336
視覺與味覺的跨模態對應： 杯子如何影響對於茶飲的味覺與價格期待?,113,碩士,鍾勝宇,https://hdl.handle.net/11296/ynp4z6
論台灣制定OTT專法之必要性:數位匯流時代下的 媒體模式變革,113,碩士,蔡幸芸,https://hdl.handle.net/11296/yk4u3s
思考性故事方案對國小高年級學生批判思考能力之影響,113,碩士,高宜勤,https://hdl.handle.net/11296/w5awj3
創造力教學融入實作課程對學生廚藝創造力之研究：以技術型高中餐飲科烘焙實務課程為例,113,碩士,侯景瀚,https://hdl.handle.net/11296/84qstp
二硫化鉬生物感測晶片製備及其應用於粒線體氧化壓力之光電化學響應分析,113,碩士,林鼎豐,https://hdl.handle.net/11296/37yq36
聚乳酸與聚乙烯醇複材結晶行為研究,113,碩士,梁芷芸,https://hdl.handle.net/11296/eaanhr
應用評價構造法探討火柴盒玩具小汽車之魅力因 子,113,碩士,樓鈞淘,https://hdl.handle.net/11296/zxe8q9
名人代言對越南年輕消費者購買意願的影響,113,碩士,黃虹安,https://hdl.handle.net/11296/m5q35u
體驗行銷、顧客參與與品牌熱愛之探討—以百貨公司為例,113,碩士,陳柔安,https://hdl.handle.net/11296/524ddq
應用分位數迴歸與機器學習進行臺灣太陽能發電功率即時估算研究,113,碩士,楊舒閔,https://hdl.handle.net/11296/7pbkbj
房屋住宅包租代管誘因及供給與需求分析,113,碩士,蔡佳玲,https://hdl.handle.net/11296/9xeq9j
P型無接面全環式閘極電晶體承受電應力引起的臨界電壓偏移,113,碩士,楊佳璋,https://hdl.handle.net/11296/52ebnv
新聞自由與隱私權衝突之探討,113,碩士,徐丞毅,https://hdl.handle.net/11296/aysxbp
台灣工具機廠商之轉型策略研究 –以W公司為例,113,碩士,邱德文,https://hdl.handle.net/11296/ach4q8
AI焦慮感與學習自我效能及自我調整學習對技術型高中工業類科學生職業生涯探索影響之研究,113,碩士,陳愷柔,https://hdl.handle.net/11296/85u6my
Bisindolo Quinoxaline 修飾氧化鋅奈米柱具有光感測器及可見光輔助氣體感測之雙重感測器,113,碩士,黃耀鴻,https://hdl.handle.net/11296/6vztm9
介電層結構對於雙閘金屬氧化物薄膜電晶體元件的影響,113,碩士,馬愷強,https://hdl.handle.net/11296/f6j779
行走方案介入對腦性麻痺兒童注意力及肌耐力影響之個案研究,113,碩士,魏若妘,https://hdl.handle.net/11296/jg6v69
離散裂隙岩體溶質傳輸特性之不確定性分析-以金門花崗裂隙岩體為例,113,碩士,何庭維,https://hdl.handle.net/11296/t7hzx4
抗戰前華北地區涉日的輿論變化——以《大公報》、《益世報》為中心的探討,113,碩士,葉立廣,https://hdl.handle.net/11296/95u8ja
音樂律動課程對於偏鄉學生注意力之影響,113,碩士,李沅錚,https://hdl.handle.net/11296/d3m3jk
里長角色與功能之研究： 以新竹市里長為例,113,碩士,曾主卿,https://hdl.handle.net/11296/jjkhh8
中高齡男性居家照顧服務員之工作經驗與學習歷程之研究,113,碩士,劉麗秋,https://hdl.handle.net/11296/ed6nw8
銀行智能客服系統持續使用意願之研究,113,碩士,彭冠筌,https://hdl.handle.net/11296/h8ce9g
食農教育融入國小健康與體育學習領域對六年級學童學習表現之行動研究,113,碩士,陳新雅,https://hdl.handle.net/11296/u474e6
運用三階段差額變數基礎模型探討ESG 對公司經營管理績效之影響—以台 灣紡織公司為例,113,博士,謝森賢,https://hdl.handle.net/11296/g572c4
非常規時段就診與心血管疾病患者死亡風險之相關性,113,博士,劉品崧,https://hdl.handle.net/11296/tua7rg
孟德爾頌《無言歌》作品十九之樂曲分析與詮釋,113,碩士,施美薇,https://hdl.handle.net/11296/f647q4
技術型高級中等學校集中式特殊教育班學生職場實習工作表現影響因素之研究：激勵保健理論觀點,113,碩士,林旻萱,https://hdl.handle.net/11296/ws4rg7
網路銀行使用介面與使用者體驗對持續使用意願之研究,113,碩士,李彥緯,https://hdl.handle.net/11296/haub7s
親子樂園消費者行為模式及再使用意願之研究,113,碩士,賴博興,https://hdl.handle.net/11296/brgwf2
技術型高中兼任行政職務教師工作要求及其工作資源之關係研究-以中部地區為例,113,碩士,宋汝琳,https://hdl.handle.net/11296/nk23eb
芳香胺修飾溴化銫鉛鈣鈦礦奈米晶體於光催化二氧化碳還原研究,113,碩士,林鳳淳,https://hdl.handle.net/11296/w9k7uz
運用知識圖譜於假新聞辨識之研究,113,碩士,楊智堯,https://hdl.handle.net/11296/2t5yht
桌遊融入自我決策教學於就業準備度之行動研究－以技術型高中集中式特教班學生為例,113,碩士,羅珮華,https://hdl.handle.net/11296/2n5qv9
技術型高中電機與電子群學生生活壓力及其因應策略之關係研究,113,碩士,劉季茹,https://hdl.handle.net/11296/qq5xp3
模具表面加熱對於雙面二維奈米結構 射出成型品質之研究,113,碩士,程佳俊,https://hdl.handle.net/11296/wu9qfw
以醣類改質波導模態共振生物感測器之二氧化鈦表面並結合抗體偶聯奈米粒子進行新冠病毒蛋白檢測,113,碩士,郭品秀,https://hdl.handle.net/11296/h53wdb
心智圖法融入技術型高中建築科「建築模型實習」 課程對學習成效之影響-以鷹架理論觀點,113,碩士,林冠良,https://hdl.handle.net/11296/pnmgx6
技術型高中設計群表現技法實習應用創造思考教學影響學生學習成效之研究,113,碩士,林沁萱,https://hdl.handle.net/11296/n4fe6c
技術型高中機械科教師數值控制機械實習素養導向教學能力指標之研究,113,碩士,周英祐,https://hdl.handle.net/11296/w3p5wu
服務品質、企業形象與消費意願關係之研究-以燒肉店為例,113,碩士,黃家翔,https://hdl.handle.net/11296/sz47m3
文化創意導入徵信產業之研究-以大愛徵信社為例,113,碩士,謝乙辰,https://hdl.handle.net/11296/5568z9
行動支付普及化對消費者使用意 圖之研究_以澎湖地區為例,113,碩士,陳維謙,https://hdl.handle.net/11296/hn5r2k
AI科技應用接受度與效益關鍵成功因素之研究,113,碩士,蕭鈞輔,https://hdl.handle.net/11296/cb3srv
會計穩健性與企業策略之關聯性,113,碩士,楊辰葳,https://hdl.handle.net/11296/44ak2a
普通型高中學生學習歷程檔案之知覺有用性、知覺易用性及行為意圖關係研究—以臺中市為例,113,碩士,薛宇蓁,https://hdl.handle.net/11296/xkqdf6
高股息ETF的投資組合和收益之研究,113,碩士,李美鳳,https://hdl.handle.net/11296/h2jn38
研發支出和外資持股與股價波動度之關係-以台灣半導體產業為例,113,碩士,簡怡君,https://hdl.handle.net/11296/pp7995
減資與資金成本跟現金流量之關係,113,碩士,張君如,https://hdl.handle.net/11296/ybh6dk
一零八課綱後普通高中學生學業壓力與壓力因應研究,113,碩士,王齊圓,https://hdl.handle.net/11296/9v8j4e
音樂與美味的交織：探索不同音樂元素對餐廳顧客餐點選擇之影響,113,碩士,陳俊錡,https://hdl.handle.net/11296/urz57m
智慧家居產品使用黏著度之研究,113,碩士,許世昌,https://hdl.handle.net/11296/3m9e2f
男子舉重運動員專項體能與運動表現之分析,113,碩士,金晟,https://hdl.handle.net/11296/m8q9d3
短影片之正負中介效應面對不同幽默風格病人之術前焦慮影響,113,碩士,王諒桓,https://hdl.handle.net/11296/8yf2pv
3C資訊通路代理商的競爭力與經營策略之研究,113,碩士,高龍泉,https://hdl.handle.net/11296/s26pqw
樂齡者自我導向學習活躍老化核心課程的需求評估之研究　,113,碩士,胡翊軒,https://hdl.handle.net/11296/366rzs
文學與柳琴作品結合之敘事手法探析 ——以曾翊玹《天界星宮的秘密—歐羅芭與金牛》、劉至軒《蘿蕾萊》為例,113,碩士,詹祥琳,https://hdl.handle.net/11296/aj7m9c
社群媒體融入社會技巧課程對技術型高中學習障礙學生社會技巧成效及社交自我效能影響之研究,113,碩士,陳姿岑,https://hdl.handle.net/11296/6qweys
朝向可持續能源未來:通過假設性評估和綠色金融探索開發可持續能源韌性與多樣性指數(SERDI)的框架,113,博士,陳建廷,https://hdl.handle.net/11296/7e94d6
提升企業客戶電子下單使用意願之研究,113,碩士,蘇家正,https://hdl.handle.net/11296/cnu9a9
家長支持與緬甸小學生學業成就之關聯探究,113,碩士,趙霄美,https://hdl.handle.net/11296/jj7mzs
高市值ETF對比元大臺灣50投資策略績效之研究,113,碩士,張永彥,https://hdl.handle.net/11296/rznwdz
使用綠色信用卡對綠色消費決策影響之研究,113,碩士,蘇亦柔,https://hdl.handle.net/11296/3tr63a
設計思考應用於單身者信託之研究,113,碩士,王仲瑜,https://hdl.handle.net/11296/d74whq
彰化縣高級中等學校學生對體育課程意向及其規律運動之研究,113,碩士,黃姿葦,https://hdl.handle.net/11296/43g45y
網紅的形象、知名度及行銷對消費者行為影響之研究,113,碩士,鄧羽妡,https://hdl.handle.net/11296/qn47tq
技術型高中土木與建築群學生對彈性學習時間課程學習動機及其學習滿意度之關係研究,113,碩士,黃吳傑,https://hdl.handle.net/11296/2ke2ty
低電壓降線性穩壓電路的晶片佈局與分析,113,碩士,浦芸倩,https://hdl.handle.net/11296/b6qd8v
極小化基板合成同軸腔體於帶通濾波器與平衡式帶通濾波器之設計,113,碩士,李品蓁,https://hdl.handle.net/11296/eahp75
技術型高中學生對本土語文課程學習動機及其學習滿意度之關係研究-以彰化地區為例,113,碩士,林佳璇,https://hdl.handle.net/11296/xhtt7u
「反賊」的跨牆日常： 探討中國媒介行動主義和藝術行動主義 到Instagram上的日常抗爭,113,碩士,阮康妍,https://hdl.handle.net/11296/e53arc
利用鉛鋅污泥與廢寶特瓶合成金屬有機框架吸附去除剛果紅染料,113,碩士,杜宜蓁,https://hdl.handle.net/11296/9g8j4s
城鄉差異與學習背景對技術型高中三年級電機與電子群學生電子學課程學習成就之研究,113,碩士,葉又銓,https://hdl.handle.net/11296/7hupd5
品牌知名度、線上促銷與產品涉入對經銷商購買意願之研究,113,碩士,陳威瑜,https://hdl.handle.net/11296/gxmknd
ESG指引影响研究 投资者、企业视角下的印度 和政府,113,碩士,阿德卡,https://hdl.handle.net/11296/gf8q7m
運用公有雲的雲端分持備份改善核心系統營運持續之研究,113,碩士,吳冠佑,https://hdl.handle.net/11296/74296r
製造業員工心理資本、心理幸福感對創新工作行為之關係－以心理社會安全氣候為調節效果,113,碩士,鄭汶凌,https://hdl.handle.net/11296/4hdnuu
五軸機構平台於立體高分子基材上製作金屬線路,113,博士,陳奕信,https://hdl.handle.net/11296/6uqcxj
ETF對投資行為影響之研究,113,碩士,林羽庭,https://hdl.handle.net/11296/rrjgd9
正念藝術團體對國小中年級注意力不足過動症學童之效益探究,113,碩士,黃楷翔,https://hdl.handle.net/11296/br37u2
領導不倫理行為對員工知識行為之影響：干擾中介模型,113,碩士,林季潔,https://hdl.handle.net/11296/2a84kk
半導體製造業中槽位基板之自動辨識及人機介面建置,113,碩士,王昱程,https://hdl.handle.net/11296/q6cw46
護理人員工作特性、情緒勞務、組織承諾與離職傾向之相關研究-以中部某醫院為例,113,碩士,張文馨,https://hdl.handle.net/11296/f95sjh
混合選擇與目標強度對放縱行為的影響：人生問題與責任歸因的調節角色,113,碩士,劉氏美和,https://hdl.handle.net/11296/676u4j
銅鉍顆粒沉積在銅樹枝薄膜作為電化學二氧化碳還原的催化劑,113,碩士,彭子珊,https://hdl.handle.net/11296/4vd7xk
基於深度卷積網路之金屬字元辨識,113,碩士,陳志鵬,https://hdl.handle.net/11296/mff25d
以發票數據分析新冠疫情前後連鎖零售商消費偏好之研究,113,碩士,張名奇,https://hdl.handle.net/11296/acnupd
山嶺之聲：臺灣南投縣信義鄉高山協作員成立合作社意願之探討,113,碩士,黃凱彤,https://hdl.handle.net/11296/3scc5b
射頻乾燥黑松露固態發酵產物及其在斑馬魚淨白效果之研究,113,碩士,林子揚,https://hdl.handle.net/11296/x84c27
2023畢業製作《駱星月》表演詮釋與製作歷程之探究,113,碩士,侯妍君,https://hdl.handle.net/11296/e2uk47
12AX7與12AU7真空管放大器特性參數之分析比較,113,碩士,姜辰翰,https://hdl.handle.net/11296/k5274g
傳統金屬製品加工產業的經營模式探討,113,碩士,陳淑敏,https://hdl.handle.net/11296/ye2kyy
題目一: 代謝相關脂肪肝疾病與慢性乙型肝炎病毒感染之研究 題目二: 新型細胞 3D 培養系統開發,113,博士,楊茜如,https://hdl.handle.net/11296/es79g9
經濟弱勢學生班級氣氛與學習成效關係之研究—以學習態度為中介變項,113,碩士,粘瑞昇,https://hdl.handle.net/11296/ur3gg6
開發三軸運動控制平台應用於噴射式電解液不鏽鋼表面拋光系統,113,碩士,蔡宗佑,https://hdl.handle.net/11296/tc7a7r
揮發性有機物之再生綠建材/空氣平衡分配係數 與內部擴散係數之研究,113,碩士,蕭群展,https://hdl.handle.net/11296/9nn77s
謝孟書碩士學位獨奏會與畢業音樂會,113,碩士,謝孟書,https://hdl.handle.net/11296/5g2jmz
上市櫃公司永續報告書揭露度與報告品質之多個案研究,113,碩士,黃峻祥,https://hdl.handle.net/11296/u5buvf
省道旅行時間預測分析-以蘇花路廊為例,113,碩士,林敬傑,https://hdl.handle.net/11296/fm3mvc
高P型摻雜閘極氮化鎵高電子遷移率電晶體的崩潰電壓與元件特性之模擬研究,113,碩士,黃翊展,https://hdl.handle.net/11296/6htfc8
虛擬社群參與的前置因素與後續價值關係之研究 -以VK公司的減肥APP電子商務為例,113,碩士,陳玉芬,https://hdl.handle.net/11296/968u9r
梅爾・玻妮斯《給長笛與鋼琴的奏鳴曲》 之樂曲分析與演奏詮釋探討,113,碩士,鄭乃嘉,https://hdl.handle.net/11296/z99qrb
以碳酸鹽提升過氧化氫酶降解過氧化氫效率之研究,113,碩士,呂瑋,https://hdl.handle.net/11296/2hs944
高雄市幼兒園教保服務人員人格特質、工作壓力與班 級經營效能之相關研究,113,碩士,吳妍緹,https://hdl.handle.net/11296/g2jv76
基於深度強化學習自適應滑動模型之ROS 2 多協作機器人跟隨導航控制系統,113,碩士,黃彥文,https://hdl.handle.net/11296/d84g9r
數量型交易資料庫之可篩除項目集探勘研究,113,碩士,陳達,https://hdl.handle.net/11296/4788tn
2D電腦動畫《Black Spot》── 延遲就醫心理之探討,113,碩士,楊皓茨,https://hdl.handle.net/11296/sr7346
公立技術型高中電機科學生學習歷程檔案學習動機及其學習成效之關係研究—以中部地區為例,113,碩士,林宥樑,https://hdl.handle.net/11296/h27z4d
企業投入事件贊助之形象移轉研究：以台灣啤酒為例,113,碩士,蔡筱婷,https://hdl.handle.net/11296/xdv3y3
立體均熱板製程及其熱性質之研究,113,碩士,張懷德,https://hdl.handle.net/11296/p2g68n
探索教育融入國小六年級綜合活動課程提升團隊合作之行動研究,113,碩士,曹連莊,https://hdl.handle.net/11296/3fx86b
我們適合嗎?多重環境不適配的負向連鎖效應：情感與認知的雙中介路徑與真實預覽的調節效果,113,碩士,陳佩菁,https://hdl.handle.net/11296/f96375
從廢印刷電路板金屬粉中分離純化回收銅,113,碩士,湯明守,https://hdl.handle.net/11296/tg9nx2
南與西之西：「弗里曼特爾雙年展」置於全球南方藝術雙年展的話語中,113,碩士,簡子曰,https://hdl.handle.net/11296/vq452u
地方農特產之發展趨勢-以苗栗縣卓蘭鎮水梨產業為例,113,碩士,彭　柏,https://hdl.handle.net/11296/7yhd5n
食農教育教學對學生健康行為表現影響之行動研究,113,碩士,葉馥萱,https://hdl.handle.net/11296/nq2qet
利用水熱硫化法從鉛膏製備硫化鉛,113,碩士,童郁玲,https://hdl.handle.net/11296/782s2w
以平衡理論探討非營利組織贊助關係之效果,113,碩士,張容華,https://hdl.handle.net/11296/933699
以共用輸入類神經網路實現區域細懸浮微粒預測之研究,113,碩士,吳曉芳,https://hdl.handle.net/11296/p8g5w8
從Bloom教育目標分類探析芬蘭小學數學教科書：以幾何教學題為例,113,碩士,張慶安,https://hdl.handle.net/11296/eu3829
直流反應式濺鍍法製備氮化鉿薄膜應用於多離子與尿酸感測,113,碩士,張鈞証,https://hdl.handle.net/11296/4ygn93
基於馬可夫轉換場及電流有效值圖像與二維卷積神經網路之非侵入式負載辨識系統,113,碩士,賴弘育,https://hdl.handle.net/11296/tpuj8y
固定式儲能系統之生命週期評估：以台灣某公司為案例,113,碩士,龔聖瑋,https://hdl.handle.net/11296/6g2ky4
服務品質、品牌形象對證券投資人滿意度與忠誠度影響之研究-以台中區為例,113,碩士,李翠芬,https://hdl.handle.net/11296/strw47
淘刷對單樁基礎側向受力變形之影響,113,碩士,羅信豪,https://hdl.handle.net/11296/jurr8j
賦能公民的人工智慧：應用大型語言模型協助了解承洪韌性並獲取地理資訊,113,碩士,徐俊宇,https://hdl.handle.net/11296/h6c5hz
名人健身中心的娛樂和互動對購買意向的影響的中介信任、知覺價值和關係資本的作用,113,碩士,殷荻塔,https://hdl.handle.net/11296/ft9672
線上健身教練個人品牌、網路口碑與購買意願相關研究,113,碩士,羅一舜,https://hdl.handle.net/11296/p6dt6g
金門縣快樂國小實施沉浸式雙語教學現況與成效之個案研究,113,碩士,徐元翔,https://hdl.handle.net/11296/qw4ex3
商標共同侵權之探討-以3D列印為核心,113,碩士,齊治豪,https://hdl.handle.net/11296/d78ev7
螺旋傘齒輪之刀具設計製作 與五軸加工路徑規劃,113,碩士,黃慶瑋,https://hdl.handle.net/11296/3qkx7h
越南語混成教學與師生學習之研究,113,碩士,范氏伶,https://hdl.handle.net/11296/33rz57
Ugonin P抑制癌症骨轉移與浮針治療術後疼痛之探討,113,博士,巫智穎,https://hdl.handle.net/11296/b7g6gy
網路倫理氛圍與網路學術不誠實關係之研究：網路自我效能與網路倫理態度的序列中介效果,113,博士,何維修,https://hdl.handle.net/11296/b57wac
整合高頻資訊與對抗訓練技術應用於異常檢測,113,碩士,張鐘仁,https://hdl.handle.net/11296/avxt83
Manuka 和 Kanuka 精油應用於光防護的可行性探討,113,碩士,郭欣函,https://hdl.handle.net/11296/gwdbdg
從高齡社會角度探討客家養生保健諺語之文化意涵,113,碩士,巫瑞玉,https://hdl.handle.net/11296/3nk3c3
太陽能光電發展策略–以B公司為例,113,碩士,陳佑任,https://hdl.handle.net/11296/tukxn5
接近邊界：非常態,113,碩士,魯志楷,https://hdl.handle.net/11296/43z7ps
聚四氟乙烯產業對半導體先進製程(晶圓廠)之影響,113,碩士,李瑩奕,https://hdl.handle.net/11296/28mqf6
企業財務資源、能力與績效關係實證研究：基於跨產業的比較,113,博士,彭華,https://hdl.handle.net/11296/t5x6nc
適性化線上閱讀平臺對國小五年級閱讀成效與動機之影響 -以myON線上英語圖書館為例,113,碩士,黃郁絜,https://hdl.handle.net/11296/jzd3d7
社會科跨領域歷史遊戲對國小學生學習動機與成效的影響:以日本統治下之台灣的教材單元為例,113,碩士,張元豪,https://hdl.handle.net/11296/8k5w9f
以態度為中介的健康意識、環境意識、食品安全意識、主觀規範和可近性對有機食品購買意願的影響,113,碩士,黃嘉佳,https://hdl.handle.net/11296/46mqy4
技術型高中課程領導、教師希望感、教學效能對教師專業發展影響之研究,113,碩士,陳克維,https://hdl.handle.net/11296/nt43hu
企業學習型組織、員工教育訓練與組織承諾之研究,113,碩士,曾姵諭,https://hdl.handle.net/11296/jt8637
以熱氧化製程研製具一次寫入多次讀取、非揮發雙 極性、單極性及揮發性選擇器特性之金屬氧化物記憶體,113,博士,張文強,https://hdl.handle.net/11296/3ha8a2
高水熱穩定性之金屬有機框架UiO-66應用於水熱液化聚乙烯為液態油,113,碩士,張峻瑋,https://hdl.handle.net/11296/k8j9k6
我才是你的頭號粉絲！不同種類的嫉妒對粉絲購買意願的影響。,113,碩士,李亦涵,https://hdl.handle.net/11296/d5gzmz
組織危機管理-以高美觀光促進會為例,113,碩士,王錫彬,https://hdl.handle.net/11296/w975m6
錯誤回饋機制結合ChatGPT在教學系統中對學生學習程式設計實作行為與成效之影響研究,113,碩士,陳柔安,https://hdl.handle.net/11296/z86e4b
關於泰國社會政治衝突和暴力局勢的抽象藝術創作,113,碩士,素提光,https://hdl.handle.net/11296/7zqjaa
基隆市高國中小體育教師體育課融入英語之教學態度與心理彈性之研究,113,碩士,蔡沛如,https://hdl.handle.net/11296/m78q42
多人戰鬥競技場遊戲內購買虛擬物品的 決策因素-以傳說對決為例,113,碩士,曾楚涵,https://hdl.handle.net/11296/8mvp3n
動物的缺席與現身,113,碩士,陳儀如,https://hdl.handle.net/11296/hca59z
正念介入對護生之知覺壓力、復原力、因應能力及人際關係之趨勢及成效,113,博士,劉怡伶,https://hdl.handle.net/11296/5a6sy5
科技犯罪偵查與個人隱私權衝突與調和,113,碩士,劉倢均,https://hdl.handle.net/11296/gnmb6s
從合法移民到非法移民： 多明尼加共和國的種族偏見如何透過移民問題表現出來,113,碩士,高凱蘭,https://hdl.handle.net/11296/5798nd
妻子罹癌往生之中年男性的悲傷歷程研究,113,碩士,吳明哲,https://hdl.handle.net/11296/md4ymc
印刷智慧紡織品多層線路結構之物聯網顯示應用與性質分析,113,博士,周子偉,https://hdl.handle.net/11296/g6887a
縫生—許天韻金工創作自述,113,碩士,許天韻,https://hdl.handle.net/11296/4k62c8
應用文字探勘探討網路論壇對汽車銷售量之影響,113,碩士,許智翔,https://hdl.handle.net/11296/y4987v
區塊鏈下供應鏈金融商業模式優化 -銀行與平台公司比較,113,碩士,林傳家,https://hdl.handle.net/11296/avumr6
結合APOS理論與角色扮演遊戲於教學成效之研究–一元一次方程式應用題目為例,113,碩士,薛庭宜,https://hdl.handle.net/11296/8qgt8g
六週TABATA間歇訓練介入對國小學童健康體適能的影響,113,碩士,胡傳華,https://hdl.handle.net/11296/a94w79
多色發射苯二胺碳量子點的比較,113,碩士,曾鴻宜,https://hdl.handle.net/11296/z3wn9d
在另類實境遊戲中結合多重鷹架策略探討對臨床推理能力和學習情緒的影響,113,碩士,花士怡,https://hdl.handle.net/11296/8ft7y8
探討添加氧化還原介質對鋰氧電池中固態FePc錨定於 多壁奈米碳管的陰極電催化性能之影響研究,113,碩士,王子涵,https://hdl.handle.net/11296/7mvhm5
布拉姆斯兩首《狂想曲》作品七十九之樂曲 分析與演奏詮釋,113,碩士,李懿修,https://hdl.handle.net/11296/q4m796
